Smallest_Island_group	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Tinian	1	1578.1303785268	1	942.1395962608	14.9006844601	145.57421914633332	12	3500	#B79CC5	1	4096.465124975	5461.713516616666	26.84141222635905	76.29433695475261	1762.0506184895833	60.75963592529297	0.596997313454099	14.9006844601
Tobi	NA	5.95	1	0	3.007434	131.12438	2	500	#E6F8EF	1	0.5065	0.35846666666666666	27.557466506958008	10.524081230163574	2407.669189453125	22.6286678314209	0	3.007434
Tokelau	2	59.8697997444	1	499.3003550824	-9.169440816054545	-171.65562932187274	3	750	#E9CAD6	1	32765.5	32765.5	27.414167646928263	20.678506989912552	3431.0249378551134	14.08781446977095	8.339769920962576	9.169440816054545
Tonga	3	130061.528017112	1	159353.625529837	-19.662176822470304	-174.4786564847212	10	2846	#4493B8	1	304.6218314546296	400.89091948170733	24.58055418765906	171.34443377870502	1573.3233916311551	38.87642588759913	1.2252172334071847	19.662176822470304
Tongoa	NA	817.3047632272	1	873.378328096	-16.9790959289	168.58512938175	11	3200	#817EC7	1	3642.087933288889	4682.1266857142855	25.529462575912476	156.81866264343262	1868.3816375732424	49.35669994354248	1.0686079017175778	16.9790959289
Tuamotu	2	441801.30356312	1	2082943.4755766608	-16.38149187017119	-144.41615636346432	4	1100	#D2F47B	1	261.9557654220745	351.5655460682143	26.1321083236896	93.03682413647353	2085.864358802829	27.98085269675906	4.714661226161528	16.38149187017119
Tungaru	2	32835.8102512505	1	110603.91153829449	0.8285585378219178	173.67738877419177	8	2150	#E3A9BF	1	1787.6674545454546	2457.8236675	27.106843033882036	17.95714763092668	1532.4282878718964	32.19042946541146	3.368392943313537	0.8285585378219178
Tupuai	2	420.6594646287	1	308.4165296046	-23.34823217663333	-149.43173402983334	3	670	#BDA8BC	1	6554.53783996	8192.799224975	22.956344604492188	196.308349609375	1523.49365234375	26.253236770629883	0.7331738746846632	23.34823217663333
Tureia	2	63.4373394912	1	543.7544278284	-21.694025852646668	-140.63010367846667	4	1100	#C6C2E9	1	6553.45694	8191.7845375	23.93268394470215	164.64622497558594	1824.9658203125	16.734107971191406	8.57152005726579	21.694025852646668
Tutuba	NA	93.9632687833	1	114.18391107340001	-15.5784165274	167.267181488	11	3200	#B4AFAC	1	1.53429995	1.5492999666666667	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	1.21519730584015	15.5784165274
Tuvalu	2	699.942492441	1	3691.8570462534	-8.378201279695162	178.85722202414516	4	1070	#EF49EC	1	32765	32765	27.450251210120417	23.243311820491662	3712.195174678679	12.28123095727736	5.274514815321912	8.378201279695162
Ulithi	2	319.3724876148	1	2132.8979382792	9.972349057273334	139.72714461786666	8	2000	#F1C47C	1	5461.053666666667	5461.0415111111115	27.295505460103353	30.54811668395996	2741.546183268229	21.684514427185057	6.6784022450040235	9.972349057273334
Ureparapara	1	270.75543346250004	2	230.5022302548	-13.534491582	167.32481148	11	3200	#50EF5F	2	1.30989995	1.2405332666666666	26.615989685058594	101.4262924194336	2458.13232421875	35.469390869140625	0.8513300261681539	13.534491582
Utupua	NA	656.8223898240001	3	821.2235940648001	-11.2485177338	166.4549908235	11	3185	#47F3F4	3	6554.13181996	8192.37432495	27.148595809936523	63.10594177246094	3030.195068359375	20.17656517028809	1.250297807729807	11.2485177338
Uvea (Wallis)	2	759.5439953679	1	718.6306001328	-13.293464407893334	-176.1832627114	9	2300	#F5E0BE	1	6554.27617996	8192.498774975	26.940418243408203	69.88013458251953	2736.8828125	22.0856876373291	0.9461342654479379	13.293464407893334
Vanikoro	NA	2676.0370408982	2	1215.5708398694	-11.6566360944	166.897274343	11	3185	#952FB1	2	1.1607750000000001	1.0639999666666666	27.068683624267575	69.74304962158203	2933.34033203125	22.227380752563477	0.4542429051958859	11.6566360944
Vanua Lava	1	2976.8373681993	3	991.2936420882	-13.859835542419999	167.5525986988	11	3200	#6DF087	3	6554.36731998	8192.541449975	26.621257019042968	100.63348236083984	2470.33544921875	34.825677490234376	0.3330022837921567	13.859835542419999
Vanua Levu	NA	1143776.904254768	1	272653.9530212446	-16.543035417256384	167.82183690245745	11	3130	#B3E8F2	1	315.9492528653846	426.4589805038961	25.819800498637747	131.36816998745533	2086.612850108045	38.552681618548455	0.2383803624701561	16.543035417256384
Vao	NA	8.6932699126	1	33.495475895000006	-15.9080538089	167.297375901	11	3200	#50DF68	1	0.185375	0.3253333333333333	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	3.8530353056738478	15.9080538089
Vatulele	NA	296.6737358664	1	310.78235600010004	-18.495124701475	177.65181749675	11	3130	#60F6AA	1	6554.50223994	8192.6880249500009	24.94580602645874	165.6499366760254	1771.1759033203125	44.168460845947266	1.0475560133171125	18.495124701475
Viti Levu	3	625706.3887515005	4	57487.194374942206	-17.825429385606558	178.13383320413115	11	3130	#A862EF	4	994.0959969393939	1311.8307639720001	25.20967583578141	155.04678870029136	1876.3470639088112	43.52603324514921	0.09187567109495068	17.825429385606558
Wolei	2	17.069787117	1	118.7269776222	7.497249878879311	143.99405792375862	7	1900	#85F1E9	1	32766	32766	27.40327447036217	17.27520390214591	3175.662799703664	21.21119617593699	6.955387129811268	7.497249878879311
Yap	3	207.6533532336	1	253.3213508754	9.52005967048	138.13191170800002	9	2400	#A5E832	1	32766	32766	27.32510299682617	27.865321350097656	2866.2205078125	19.335857391357425	1.2199242002628568	9.52005967048
Yasawa (greater)	NA	9456.343837864799	1	21576.4849100292	-17.182586812101164	177.29870868272093	11	3130	#C3798A	1	1130.922837910345	1490.4104272545455	25.486956640731457	144.55312365154887	1938.2220813839936	44.47391758408657	2.2816942023230276	17.182586812101164
Ānewetak	3	20.392806125	1	162.8581127822	11.535464243944118	162.28492452597058	8	2000	#A1F272	1	32766	32766	27.00064479603487	57.351794972139245	1970.474666819853	51.80989904964672	7.986057033247062	11.535464243944118
