Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Mota Lava	1	-0.21316725666202652	0.3851421898876726	0.06940141874297856	0.4155681268601494	-0.14134874227648475	1	-0.6132486792638425	-0.6941223602905467	11	-0.15422861429975	-0.23403097509470724	-0.15384347559579484	0.16769153152706376	-0.4420885677055938	0.07497210456427005
Māngarongaro	1	-0.8278385756722086	0.5292501881234938	-0.12571189555184384	0.6337841053007285	-1.2379301613973108	2	-1.212400823196764	-0.7848737092492761	2	0.16773289386936246	1.985943052603544	1.963979944140018	1.3505472070730107	1.136659921053055	-0.9884247326514776
Nengone	1	0.8132093681727072	-1.4277172087248566	1.40533436457993	-0.7290763634450005	1.602924844049041	3	0.2481327952742373	-0.16549644700658708	11	-0.2604424364757063	-0.23398510826628605	-0.1537938879666597	-1.1719755077251772	0.2895317197397565	-1.3639327048177083
Niue	1	0.4934289087548488	-0.8353620566029222	0.24272182140714357	-0.25260706885851475	0.6511179777236813	2	-0.0728338954817992	-0.5226194218324085	8	-0.2657776175642081	-0.7890048372691919	-0.8597560371702951	-0.7707175777073273	-0.40965350483812557	0.07476025089922815
Nukuoro	1	-1.5093912026711789	1.26232913195055	-0.28554217402801996	0.7049586874899834	-1.4713198336107824	1	-1.7215591244205124	-1.2827288609489012	2	0.7100872762726569	1.985943052603544	1.963979944140018	1.7321514350878262	0.8701077832412238	-0.7182300320344855
Paama	1	0.15565436219881168	-0.3838292048378946	1.0574313498331664	0.06175181116024863	0.56927727962047725	1	-0.4713218207003201	-0.6544441828573573	11	-0.19192146076031735	-0.789065896276581	-0.8598202982042592	-0.6033140709644522	-0.8741393526588156	-0.5231855615127055
Palau	1	-1.0434990288887154	1.4339301963137665	-0.9188927893638196	0.7057804141254037	-1.3126498714654742	2	0.5215801143827515	0.5338054474874118	11	-0.19055295343171905	-0.6684328829326811	-0.6937394937371792	0.8176053454877209	-1.211361204569052	1.4365562833617949
Pohnpei	1	-1.1191830250186736	1.7674474967787408	-0.8493908701308367	0.68502717059295	-1.3181377065972006	3	0.5107084048871663	0.5089879520764437	7	-0.19255369323394472	-0.5578506550104959	-0.5774859531971465	0.931978420869466	-1.1747230096817443	1.4136828548877447
Pukapuka	1	-0.562012893478909	0.9590176816961792	-0.929832438181562	0.6552056068951457	-1.0979801035850338	2	-1.0582713178017225	-0.8342151407708611	3	0.02117247322728087	0.13589266261774133	-0.15390759155262507	0.7801985137930229	-0.38439214484051387	0.9515148427389121
Raivavae	1	1.1293015323451427	-0.9858242838922092	-0.5926813072544274	-0.9957836148880892	1.2901079766785697	2	-0.6209208618586876	-0.3604293816678498	3	-0.05337466765657869	0.400225629635517	0.552073117916898	-0.713852651057686	1.500596201187713	0.07209949048083357
Rakahanga-Manihiki	1	-0.6480266212989997	0.7174472332464377	-0.6906992092448353	0.6549218697337676	-1.170848395024699	2	-1.1640793447430222	-0.9519629156404796	2	0.04774035051805691	1.985943052603544	1.963979944140018	1.3956484551033592	1.3198510264574583	-0.4825391502726047
Rapa Nui	1	1.5573361298748922	-1.6862389757061065	1.0660094323351246	-1.6273077633502049	0.9166883072991172	2	-0.19754140486236357	-0.49755584492241806	3	-0.2306620791396081	-0.7890547452670461	-0.8598226194039305	-1.58284686991548	0.21801236373299293	-0.39678305289650073
Ratak + Rālik	1	-0.902217372079983	0.8451045225495665	0.05324409818463548	0.6198812100667219	-1.09972464531746	3	0.4259898284686649	1.2587884518858177	8	-0.04441299402551511	-0.4082240267176599	-0.35302847037693663	0.6042941029435762	-1.046125803043939	0.3344324848776431
Rimatara	1	0.8571792269723236	-1.0182839530561	-0.2558229832491054	-0.6612230070072429	0.9979230224266404	2	-1.420806586698086	-1.0818928667487069	3	0.24040350827642484	-0.23408697131016687	-0.15390041465030035	-0.7867623741458128	0.588036125357658	0.12519563530803426
Rotuma	1	-0.37240121327141784	1.029555925426037	-1.076011950057523	0.574305037692086	-0.658773673526869	3	-0.697277991578385	-0.7791162408772558	5	-0.147446359057899	0.5984028908023428	0.5520412976607142	0.848262208126542	0.3161266291337719	0.7217841264905974
Rurutu	1	0.960918981905592	-1.036029422857476	-0.41056454783749863	-0.8022194682965732	1.1351951530448574	2	-0.34559596676027043	-0.41623625556365806	3	-0.1698347340664159	-0.480671200693483	-0.45635851951193185	-0.9460532940278608	0.4792108674092526	0.4286489966172367
