Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Kadavu	1	0.4823125214026669	-0.7751546870112205	0.6214072065484555	-0.248998193772885	0.8918736161797862	1.4822714686130058	0.34132690428311246	0.34064145289060926	0.8794917323928652	-0.1857818443514294	-0.5006549913345245	-0.47693411660051055	-0.7407790265088101	-0.14171812264567032	-0.4531923453963075
Kapingamarangi	1	-1.8980890465987483	-0.15545828148361068	-0.6492817734333773	0.7230682962240823	-1.4405319010471636	-1.1217189492206532	-1.7355142995015456	-1.2837600957588164	-1.0917828402118328	0.8031698813452907	1.9125104376222424	1.892373655702172	1.5233389063952425	1.1092030147627172	-0.6610906497737394
Kosrae	1	-1.3327256827292064	1.931983124662437	-0.7077123283504955	0.6948279146485469	-1.405907630247855	1.4822714686130058	-0.06267515080431131	-0.2503599253765519	0.03465977270513742	-0.20916075725525063	-0.5007254726805883	-0.4770100748834586	1.0812843018116653	-1.3436177786504508	0.962902930256656
Lau	1	0.3523299638958296	-0.5392421561676451	0.3867618973239837	-0.07439593855990659	0.5816158873687471	1.4822714686130058	0.9935862517847458	1.4493850519272231	0.8794917323928652	-0.1383955478937661	-0.7491093701190733	-0.8000661048226567	-0.6238385826374346	-0.5451052084130358	-0.13725433989912106
Lifou	1	0.719374552909317	-1.3085842592152086	1.5505779310531456	-0.5825670846429157	1.465731271714079	0.18027625969617633	0.4157439739729189	0.00783201679814008	0.8794917323928652	-0.2608046200701154	-0.2593134839730317	-0.18075034661971545	-1.1101762695251436	0.29438184741247936	-1.3567004125700013
Loh-Toga	1	-0.2752919535648514	0.5285762381928182	-0.08893300559218507	0.46782257793346627	-0.2533175220081054	-1.1217189492206532	-0.1006905849060408	-0.0520948762018088	0.8794917323928652	-0.15522747913455315	-0.4144909757253277	-0.3692618882865524	0.2097158689434553	-0.6670211853845154	0.19767546694802537
Luangiua	1	-1.3315427248962552	1.580791494826212	-0.9586980820337548	0.7399404794065192	-1.21382793187359	-1.1217189492206532	-1.1123502229793274	-0.7774660755633969	-1.655004146670318	0.0915478635375705	1.9125104376222424	1.892373655702172	1.7541442647830803	1.0891509745785175	0.13433700374411803
Mangareva	1	1.0303881526611705	-0.5217377649975724	-1.4688097723390754	-0.7954664704488832	0.9067916015060468	0.18027625969617633	-0.288475683129243	0.14079928420245583	-1.0917828402118328	-0.04941817516462028	-0.41451593687088223	-0.3692838617824287	-0.6845569904164878	0.49223232217868795	1.5049699209355427
Mo-ava-mo-iki	1	-0.5182200648490931	0.8275583877605364	-0.3600270929134051	0.5257493909844367	-0.4516402699830325	0.18027625969617633	0.21592677997804713	-0.08792492865367768	0.8794917323928652	-0.23946462988315517	-0.8023361696771386	-0.8718656274789759	0.26958622235191926	-1.2037253185414205	0.619434508129748
Mota	1	-0.20200518768586131	0.40057154822500984	0.04907854457818835	0.4236742608041937	-0.15919046481927196	-1.1217189492206532	-0.8902961259083333	-1.057153995126913	0.8794917323928652	-0.15721266419472296	-0.802319459167768	-0.8718432367579272	-0.018766784549383003	-1.0605178328231153	0.2376177421683872
