dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Intercept_mean	b_EA033_mean	b_Carrying_capactiy_PC1:Shoreline_mean	b_Shoreline:Carrying_capactiy_PC2_mean	b_Shoreline:Settlement_date_grouping_finer_mean	b_Intercept_sd	b_EA033_sd	b_Carrying_capactiy_PC1:Shoreline_sd	b_Shoreline:Carrying_capactiy_PC2_sd	b_Shoreline:Settlement_date_grouping_finer_sd	b_Intercept_min	b_EA033_min	b_Carrying_capactiy_PC1:Shoreline_min	b_Shoreline:Carrying_capactiy_PC2_min	b_Shoreline:Settlement_date_grouping_finer_min	b_Intercept_max	b_EA033_max	b_Carrying_capactiy_PC1:Shoreline_max	b_Shoreline:Carrying_capactiy_PC2_max	b_Shoreline:Settlement_date_grouping_finer_max	dropped_observation_prediction_mean	dropped_observation_prediction_diff_mean
Puka-puka	1.000030733133904	77525.64915402386	74752.79418174773	2.959719298245614	0.7184	0.28159999999999996	0.7007796050678845	-5.61079383362069	0.9821986969058121	1.600793355291138	5.583227723793104	0.27011915655838353	0.392274600423985	0.7757762496256502	0.6437114405783193	0.29318853444946413	-0.535482	-7.33037	-2.3185	-1.64924	4.42634	1.69823	-3.73768	4.33267	4.03749	6.88022	0.7184	0.28159999999999996
Pukapuka	1.000043718233458	78071.11070581469	75240.293358503	2.9574912280701753	0.4693	0.5307	0.6870790403804483	-5.6165323581034485	1.012611235728994	1.6172105051127932	5.587537944655172	0.2715578452777802	0.3935450058158398	0.7778035022555808	0.6403428214153469	0.2965078194737899	-0.746006	-7.23789	-2.45454	-1.39092	4.39236	1.76158	-4.13521	4.24243	3.88419	6.94085	0.4693	0.5307
Raivavae	1.0000154617477228	76764.17981828302	73102.77759054666	2.9463157894736844	0.6535	0.34650000000000003	0.6986533965315345	-5.607256104310345	0.9916067143517833	1.5874187415124137	5.586510939310345	0.2719900882175434	0.394636820783061	0.7804901915476017	0.6414697191355263	0.2978381097639736	-0.419315	-7.2766	-1.96631	-1.91207	4.38101	1.81645	-3.93894	4.11261	3.8814	6.79518	0.6535	0.34650000000000003
Rakahanga-Manihiki	1.000023594167908	76476.64804358967	75317.58328569694	2.941070175438597	0.4916	0.5084	0.693124576441662	-5.615652290862069	0.9905210373093604	1.6005551111057241	5.595379883275862	0.27184336472080195	0.3933022295764351	0.781580185868939	0.6398456138255224	0.2939505548776641	-0.448886	-7.32262	-2.44942	-1.30263	4.39122	1.73111	-4.02349	4.07322	3.97873	6.89121	0.4916	0.5084
Ralik	1.000045687207643	77618.70040347285	75378.76237260985	2.9537894736842105	1.1427	0.14270000000000005	0.7078831008986207	-5.590185444310345	0.9806660883247568	1.5816991830346552	5.573572946724138	0.2715342023790961	0.39778685658793983	0.7841366102679989	0.6425897216931374	0.2920850014914639	-0.455085	-7.32269	-2.99333	-1.43755	4.34171	1.81748	-3.90409	4.77531	3.75832	6.84729	1.1427	0.14270000000000005
Rapa Nui	1.0000124782128799	75630.50245479788	75602.82018627794	2.939438596491228	0.3989	0.6011	0.67183071319233445	-5.629510497586207	1.0558231450751725	1.6381645792650794	5.58885108	0.27265699868059834	0.3937021843973813	0.7772546043712317	0.6391217818909711	0.2919454448442827	-0.68389	-7.41669	-2.1796	-1.77501	4.26346	1.73727	-3.87618	4.13415	3.98167	6.82662	0.3989	0.6011
Raro Matai	1.0000567192225696	78101.7869982211	75025.98152716125	2.9159298245614034	0.1135	0.8865	0.6853299607395862	-5.665443084482758	1.0101139533915897	1.630663741397	5.603690111896552	0.2727662328028959	0.395978325473783	0.77981193337506	0.6388909765806267	0.29396026464510483	-0.454155	-7.324	-2.44015	-1.33958	4.46609	1.70863	-4.09114	4.22199	4.11537	7.00589	0.1135	0.8865
Rarotonga	1.0000198097438124	75854.6044885395	75934.51770185956	2.9517543859649122	0.5973	0.40269999999999995	0.6899607713367759	-5.61250473275862	1.0109331017908965	1.6070451349593966	5.585858276034482	0.2713691711961358	0.39552294935170024	0.7804985680111393	0.6443675280163425	0.2954827386090819	-0.412352	-7.48857	-2.50566	-1.52013	4.28876	1.88303	-3.7383	4.21945	4.30493	6.88371	0.5973	0.40269999999999995
Ratak	1.000051061658652	77984.40741549786	74308.98940861234	2.9523333333333333	1.3456	0.3455999999999999	0.6999447769758104	-5.578874563793104	1.0073459648272949	1.578770981928862	5.574074863965517	0.26944493201444936	0.40039708575101746	0.7813751481293089	0.6426691290240348	0.29280576585787726	-0.426897	-7.34712	-2.42674	-1.67729	4.41838	1.82627	-3.93294	4.12462	3.88933	6.76249	1.3456	0.3455999999999999
Reao	1.0000372135921112	77299.83138608442	73207.89974793408	2.9620350877192982	0.8258	0.17420000000000002	0.7061672266991896	-5.6032917256896555	0.9714067143349845	1.5870403558620827	5.582974046206896	0.2701517897875915	0.3951698788108619	0.777385205088266	0.6432639962379744	0.2932702204653893	-0.62559	-7.53567	-2.36213	-2.01012	4.31749	1.72987	-3.76685	4.31594	3.99059	7.06349	0.8258	0.17420000000000002
