dropped_obs	b_Carrying_capactiy_PC1_max	b_Carrying_capactiy_PC1_min	b_Carrying_capactiy_PC1_mean	b_Intercept_max	b_Intercept_min	b_Intercept_mean	b_Carrying_capactiy_PC2_max	b_Carrying_capactiy_PC2_min	b_Carrying_capactiy_PC2_mean	b_EA033_max	b_EA033_min	b_EA033_mean	b_Shoreline_max	b_Shoreline_min	b_Shoreline_mean	b_Settlement_date_grouping_finer_max	b_Settlement_date_grouping_finer_min	b_Settlement_date_grouping_finer_mean	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Carrying_capactiy_PC1_includes_zero	b_Carrying_capactiy_PC2_includes_zero	b_Intercept_includes_zero	b_EA033_includes_zero	b_Shoreline_includes_zero	b_Settlement_date_grouping_finer_includes_zero
Ratak	1.93541	-2.2346	-0.11936095720052173	4.45108	-8.50708	-2.3419959901413776	3.07025	-0.880259	1.160438300609681	-3.60192	-7.12577	-5.257913230775862	6.23928	1.77499	3.9058455427586205	4.59816	2.01574	3.202932714137931	1.0000645111078001	64862.17681838506	70241.69737712256	3.1742157894736844	1.2574	0.2574000000000001	Yes	Yes	Yes	No	No	No
Reao	2.0937	-2.44312	-0.11764495322902871	3.53968	-8.82827	-2.396101404173095	3.24817	-0.782993	1.1865303659302329	-3.22646	-7.33912	-5.281088259224138	6.02642	1.83003	3.914104453534483	5.05748	2.10222	3.220103128017241	1.000058431051011	61954.8891882898	69328.63790386266	3.165401754385965	0.7174	0.28259999999999996	Yes	Yes	Yes	No	No	No
Rekohou	2.36411	-2.3446	-0.15234002446985465	3.66588	-9.58718	-2.2893772869513622	3.13945	-0.917447	1.1711880683153622	-3.53852	-7.09459	-5.270555560172414	6.07571	1.77832	3.882593535517241	4.55796	2.06278	3.2006478940517242	1.0000741623814637	64001.26810266165	69776.18416006387	3.1703684210526317	1.1723	0.1722999999999999	Yes	Yes	Yes	No	No	No
Rimatara	2.18152	-2.04024	-0.03887080333077	3.00493	-8.82417	-2.632411015204988	3.48105	-0.746459	1.2178605379999914	-3.53549	-7.27134	-5.311046291465518	6.38061	1.96359	4.006783660172414	4.67801	2.01389	3.248799882413793	1.0000403920853116	63695.87404092715	69339.55474277558	3.153084210526316	0.2129	0.7871	Yes	Yes	Yes	No	No	No
Rotuma	2.10017	-2.27004	-0.10756139320370948	3.64631	-8.7965699999999991	-2.452056682576032	3.3486	-1.04968	1.19858115489165	-3.70718	-7.24306	-5.347551296034482	6.1522	1.65454	3.9647156622413795	4.80149	2.0356900000000002	3.224745109396552	1.0000470441883138	62251.944719254	69670.88945651808	3.1470035087719297	0.0904	0.9096	Yes	Yes	Yes	No	No	No
Rurutu	2.34059	-2.0255	-0.05361625820600474	3.73206	-9.67496	-2.583868462521955	3.17653	-0.913067	1.2107690692786879	-3.44615	-7.1259	-5.3039730625862065	6.56045	1.77007	3.985203713534483	4.56379	2.10527	3.2427829262931036	1.0000189566568511	61113.35781231642	70028.5439137429	3.1563228070175438	0.2846	0.7154	Yes	Yes	Yes	No	No	No
Samoa	2.08308	-2.28007	-0.13573762725060604	3.15024	-8.40742	-2.3116765555655103	3.03337	-0.879772	1.1594573804037156	-3.40383	-7.34035	-5.24387206	6.10608	1.96164	3.8873314245689654	4.49706	2.11185	3.2085672960344827	1.0000401709244298	63509.12845762858	68630.68124034653	3.17320350877193	1.354	0.3540000000000001	Yes	Yes	Yes	No	No	No
Sorol	1.87888	-2.27005	-0.12662103483611656	3.4399	-8.50785	-2.351770418074807	3.10384	-0.800727	1.1777231787071465	-3.61012	-7.40928	-5.26773484362069	6.01243	2.00328	3.8929464705172414	4.72602	2.04437	3.2103785727586205	1.0000343430748235	62236.98898942949	69683.02382547021	3.1706245614035087	1.1895	0.1895	Yes	Yes	Yes	No	No	No
Tatakoto	2.25394	-2.1504	-0.11222859330676337	3.44431	-9.53377	-2.416986433976674	3.19825	-0.734034	1.1906063318705689	-3.64796	-7.24946	-5.2831941933620685	6.2032	1.96763	3.9214818960344826	4.83802	1.96837	3.2234099264655174	1.0000608787945593	61821.61248482426	68571.42397978067	3.162724561403509	0.6408	0.35919999999999996	Yes	Yes	Yes	No	No	No
Tokelau	1.93962	-2.1686	-0.1585430294215283	3.52763	-8.42378	-2.2770142577786205	3.16041	-0.748408	1.1570722888103049	-3.31563	-7.34545	-5.269960544741379	6.17434	1.96538	3.888219343103448	4.57171	2.1296	3.214839060689655	1.0000551335211725	63311.148851649545	69680.42076253607	3.16279649122807	0.5985	0.40149999999999997	Yes	Yes	Yes	No	No	No
Tonga	1.88552	-2.48285	-0.18079592939824396	3.81154	-8.46355	-2.207870482793927	3.06411	-0.742304	1.1296892035209964	-3.37672	-7.04244	-5.127132776637931	5.9703	1.91174	3.851590079051724	4.74163	1.88595	3.223569833362069	1.0000056674476219	65159.72969878109	71482.8006563046	3.1696491228070176	2.9654	1.9653999999999998	Yes	Yes	Yes	No	No	No
Tungaru	2.31113	-2.17076	0.11147035333853328	3.68275	-8.81736	-2.486893550687432	3.11969	-1.05667	0.9908741398718104	-3.33092	-6.88008	-5.190943735517242	6.20092	2.0899	4.096226031206896	4.49291	1.821	3.107041285862069	1.000025236176522	63016.36600523311	70267.77467454236	3.1300614035087717	6.9733	5.9733	Yes	Yes	Yes	No	No	No
Tupuai	1.9794	-2.69497	-0.05229404070797405	3.73147	-9.78597	-2.577293546058362	3.29666	-0.74311	1.2047740135418534	-3.60696	-7.14546	-5.301975066637931	6.15606	1.86008	3.9874276735344827	4.6704	2.11148	3.240512178275862	1.0000226237787853	64309.134486299925	70524.73913504713	3.1534789473684213	0.3152	0.6848000000000001	Yes	Yes	Yes	No	No	No
Tureia	2.024	-2.46311	-0.10226765795110457	3.53284	-9.23827	-2.420466337119106	3.17733	-1.03268	1.1786835339314397	-3.54549	-7.34522	-5.284862297327586	6.28721	1.71432	3.933609824224138	4.53956	2.08651	3.220249478448276	1.0000429195584137	65969.33615506499	70734.0891847486	3.160075438596491	0.5995	0.40049999999999997	Yes	Yes	Yes	No	No	No
Uvea (Wallis)	2.04638	-2.23599	-0.15109237732521982	3.99951	-9.03793	-2.2687194250555347	3.20238	-0.876817	1.1678079613309233	-3.30643	-7.04423	-5.223763416465517	5.97112	1.57379	3.835741782413793	4.66419	2.06663	3.209172569741379	1.0000409251966675	61883.304077951805	69039.10138806175	3.1617350877192982	2.5653	1.5653000000000001	Yes	Yes	Yes	No	No	No
Woleai	2.05829	-2.43552	-0.11345217106562241	3.49874	-8.8856	-2.3866121563729674	3.43494	-0.984495	1.1869062305513363	-3.5043	-7.28906	-5.271339902327586	6.06408	1.73451	3.9011004077586207	4.70739	2.09059	3.2093040054310347	1.000035662771	58813.17149347033	67229.5255126354	3.1690087719298243	1.3265	0.3265	Yes	Yes	Yes	No	No	No
